alpha,gamma,reached destination,mistakes
1,0.1,2772,2385
1,0.2,2672,2300
1,0.3,2561,2265
1,0.4,2461,2240
1,0.5,2361,2243
1,0.6,2246,2155
1,0.7,2143,2143
1,0.8,2035,2166
1,0.9,1938,2462
0.1,0.1,1866,1653
0.1,0.2,1764,1747
0.1,0.3,1662,1628
0.1,0.4,1568,1571
0.1,0.5,1463,1457
0.1,0.6,1356,1432
0.1,0.7,1259,1474
0.1,0.8,1164,1302
0.1,0.9,1047,1220
0.01,0.1,964,1148
0.01,0.2,864,1127
0.01,0.3,756,1077
0.01,0.4,654,986
0.01,0.5,555,872
0.01,0.6,455,774
0.01,0.7,354,646
0.01,0.8,260,545
0.01,0.9,159,411
0.001,0.1,53,211
0.001,0.2,0,0
0.001,0.3,0,0
0.001,0.4,0,0
0.001,0.5,0,0
0.001,0.6,0,0
0.001,0.7,0,0
0.001,0.8,0,0
0.001,0.9,0,0
